[ 2021-05-19 11:35:15,754 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-19 11:35:17,954 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-19 11:46:50,448 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/Store//home/banner_mordragor.png - server replied: Internal Server Error
[ 2021-05-19 11:46:50,448 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/Store//home/banner_freewind.png - server replied: Internal Server Error
[ 2021-05-19 11:46:50,448 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/Store//home/banner_falanaar.png - server replied: Internal Server Error
[ 2021-05-19 11:46:50,448 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/Store//home/banner_mistfall.png - server replied: Internal Server Error
[ 2021-05-19 11:46:50,448 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/Store//home/liombera_custom.png - server replied: Internal Server Error
[ 2021-05-19 11:46:50,448 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/Store//home/banner_dolwatha.png - server replied: Internal Server Error
[ 2021-05-19 11:48:56,416 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-19 11:48:56,466 ] Disconnected from gameserver
[ 2021-05-19 11:48:56,510 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-20 23:21:40,444 ] Asset loading complete
[ 2021-05-20 23:34:27,375 ] Asset loading complete
[ 2021-05-20 23:36:06,538 ] Asset loading complete
[ 2021-05-20 23:40:09,340 ] Asset loading complete
[ 2021-05-20 23:58:56,249 ] Asset loading complete
[ 2021-05-20 23:58:59,232 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-20 23:58:59,860 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-20 23:58:59,865 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-20 23:58:59,875 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-20 23:58:59,917 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-20 23:58:59,924 ] Disconnected from gameserver
[ 2021-05-20 23:59:00,917 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-20 23:59:02,637 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-20 23:59:04,441 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-20 23:59:04,444 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-20 23:59:04,454 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-20 23:59:04,520 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-20 23:59:04,526 ] Disconnected from gameserver
[ 2021-05-20 23:59:05,420 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-20 23:59:05,654 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-20 23:59:39,818 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-20 23:59:41,288 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-20 23:59:41,289 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-20 23:59:41,301 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-20 23:59:41,302 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-20 23:59:41,307 ] Disconnected from gameserver
[ 2021-05-21 00:00:00,019 ] Asset loading complete
[ 2021-05-21 00:00:02,151 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-21 00:00:02,527 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-21 00:00:02,531 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-21 00:00:02,542 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-21 00:00:02,602 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-21 00:00:02,605 ] Disconnected from gameserver
[ 2021-05-21 00:00:03,586 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-21 00:00:04,153 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-21 00:00:18,620 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Knight Sample" )
[ 2021-05-21 00:00:18,622 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-21 00:00:18,633 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-21 00:00:18,699 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-21 00:00:18,702 ] Disconnected from gameserver
[ 2021-05-21 00:00:19,265 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-21 00:00:19,615 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-21 00:00:20,137 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-21 00:00:20,139 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-21 00:00:20,150 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-21 00:00:20,199 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-21 00:00:20,202 ] Disconnected from gameserver
[ 2021-05-21 00:00:21,118 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-21 00:00:21,133 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-21 00:00:53,746 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
